iter	RMSE
0	5318.631123
1	5275.936527
2	5233.575999
3	5191.406966
4	5150.527733
5	5109.289523
6	5070.352747
7	5030.326297
8	4990.674461
9	4950.631847
10	4913.198
11	4872.735464
12	4834.290236
13	4796.910315
14	4760.161127
15	4723.59771
16	4687.448326
17	4651.547618
18	4616.755633
19	4580.733458
20	4545.336487
21	4510.89689
22	4480.374611
23	4447.523186
24	4414.214432
25	4380.56014
26	4346.747417
27	4315.831502
28	4282.635581
29	4250.431566
30	4218.552408
31	4187.679833
32	4156.90638
33	4125.802078
34	4098.201852
35	4066.563513
36	4036.964689
37	4007.55261
38	3979.741345
39	3950.798905
40	3922.087542
41	3895.053363
42	3869.588374
43	3840.356598
44	3813.515512
45	3788.851978
46	3760.540083
47	3734.007698
48	3706.733397
49	3680.63626
50	3654.673565
51	3629.84966
52	3604.395856
53	3578.82279
54	3554.563498
55	3529.257859
56	3506.406398
57	3483.012785
58	3459.854268
59	3439.014139
60	3416.32797
61	3392.985358
62	3369.367944
63	3348.642599
64	3328.244445
65	3305.916545
66	3284.778237
67	3263.530728
68	3241.739027
69	3220.066905
70	3199.517762
71	3178.918059
72	3158.722018
73	3139.341068
74	3118.722112
75	3100.016094
76	3079.93163
77	3061.045991
78	3042.568919
79	3023.393155
80	3004.099064
81	2986.856685
82	2968.478429
83	2950.88626
84	2933.267624
85	2916.120562
86	2898.639007
87	2879.978139
88	2863.224221
89	2847.113758
90	2832.212543
91	2814.340774
92	2798.265299
93	2782.353612
94	2766.108585
95	2749.864199
96	2734.375403
97	2718.578961
98	2703.65323
99	2688.7383
100	2674.171789
101	2659.013139
102	2646.428494
103	2631.161098
104	2616.409691
105	2601.650366
106	2587.980902
107	2574.181711
108	2560.346216
109	2547.041106
110	2534.505098
111	2520.977354
112	2508.705059
113	2495.275922
114	2483.37312
115	2471.196862
116	2459.793442
117	2447.044388
118	2435.283111
119	2423.985449
120	2411.754774
121	2400.384259
122	2387.991869
123	2376.342805
124	2364.811701
125	2352.76226
126	2342.411309
127	2331.89212
128	2320.117392
129	2310.282143
130	2299.376725
131	2288.38569
132	2278.455652
133	2269.257485
134	2259.569728
135	2249.923052
136	2240.22083
137	2231.283097
138	2222.052668
139	2211.947283
140	2202.571647
141	2193.692426
142	2184.698979
143	2175.550941
144	2167.410281
145	2159.239957
146	2151.007665
147	2142.154834
148	2134.142687
149	2125.728699
150	2117.439725
151	2109.327716
152	2102.1619
153	2094.439006
154	2087.41288
155	2080.099597
156	2073.299754
157	2065.699108
158	2058.579271
159	2050.602359
160	2043.724711
161	2036.758543
162	2030.141468
163	2024.387388
164	2017.754304
165	2011.502913
166	2004.946084
167	1998.867289
168	1992.448008
169	1985.529597
170	1978.5379
171	1972.341216
172	1966.301433
173	1959.64237
174	1953.752827
175	1947.530268
176	1941.591719
177	1936.338953
178	1930.981839
179	1925.124709
180	1919.924905
181	1914.279813
182	1908.57387
183	1903.707059
184	1898.14464
185	1893.222595
186	1887.526132
187	1882.583841
188	1877.363635
189	1871.446158
190	1866.832843
191	1862.593562
192	1858.257833
193	1853.871727
194	1849.421745
195	1845.680709
196	1841.503529
197	1837.62066
198	1833.568405
199	1828.846691
200	1824.821592
201	1820.557017
202	1816.87992
203	1813.020345
204	1808.684201
205	1804.656616
206	1801.101124
207	1796.319896
208	1791.666228
209	1788.253869
210	1784.827281
211	1781.673694
212	1778.277503
213	1774.918621
214	1771.00266
215	1766.598112
216	1762.82405
217	1759.135019
218	1755.78183
219	1752.001004
220	1749.373808
221	1746.197674
222	1743.331503
223	1740.447731
224	1736.900342
225	1734.172638
226	1731.505901
227	1728.968143
228	1726.033344
229	1722.939438
230	1720.132617
231	1717.147275
232	1714.706205
233	1711.819901
234	1709.148432
235	1706.663488
236	1703.335468
237	1699.642791
238	1696.551593
239	1693.98176
240	1690.406699
241	1687.675718
242	1685.024484
243	1682.681083
244	1679.110666
245	1675.594454
246	1673.911851
247	1671.979406
