iter	Passed	Remaining
0	1	929
1	1	583
2	1	454
3	2	390
4	2	345
5	2	320
6	3	299
7	3	282
8	3	269
9	3	264
10	4	269
11	4	264
12	4	262
13	5	255
14	5	250
15	5	247
16	6	246
17	6	244
18	6	242
19	7	238
20	7	234
21	7	231
22	7	228
23	7	225
24	8	222
25	8	220
26	8	217
27	8	215
28	9	212
29	9	211
30	9	212
31	10	212
32	10	213
33	10	213
34	11	215
35	11	215
36	12	215
37	12	215
38	12	216
39	13	216
40	13	216
41	13	215
42	14	214
43	14	213
44	14	211
45	14	210
46	14	208
47	15	207
48	15	205
49	15	204
50	15	202
51	16	201
52	16	200
53	16	199
54	16	198
55	17	197
56	17	196
57	17	197
58	18	196
59	18	197
60	18	197
61	19	198
62	19	198
63	19	198
64	20	197
65	20	197
66	20	197
67	21	196
68	21	196
69	21	196
70	22	195
71	22	194
72	22	193
73	22	193
74	23	192
75	23	192
76	23	192
77	24	191
78	24	191
79	24	190
80	24	190
81	25	189
82	25	189
83	25	188
84	25	188
85	26	187
86	26	187
87	26	186
88	27	186
89	27	185
90	27	184
91	27	183
92	28	183
93	28	182
94	28	181
95	28	181
96	29	180
97	29	180
98	29	180
99	29	179
100	30	179
101	30	178
102	30	178
103	31	177
104	31	177
105	31	177
106	32	177
107	32	177
108	32	176
109	32	175
110	33	175
111	33	174
112	33	174
113	33	173
114	34	173
115	34	173
116	34	173
117	35	174
118	35	173
119	35	173
120	36	173
121	36	173
122	36	173
123	37	172
124	37	171
125	37	171
126	37	170
127	38	170
128	38	169
129	38	169
130	38	168
131	39	168
132	39	167
133	39	166
134	39	166
135	40	166
136	40	165
137	40	165
138	40	164
139	41	164
140	41	164
141	41	164
142	42	163
143	42	163
144	42	162
145	42	162
146	43	161
147	43	161
148	43	160
149	43	160
150	44	160
151	44	159
152	44	159
153	44	158
154	45	158
155	45	158
156	45	157
157	45	157
158	46	156
159	46	156
160	46	156
161	47	156
162	47	156
163	47	155
164	47	155
165	48	155
166	48	155
167	48	154
168	49	154
169	49	154
170	49	153
171	49	153
172	50	152
173	50	152
174	50	152
175	51	152
176	51	152
177	51	152
178	52	151
179	52	151
180	52	150
181	52	150
182	53	149
183	53	149
184	53	148
185	53	148
186	54	148
187	54	147
188	54	147
189	54	146
190	54	146
191	55	145
192	55	145
193	55	145
194	55	144
195	56	144
196	56	143
197	56	143
198	56	143
199	57	142
200	57	142
201	57	141
202	57	141
203	58	141
204	58	140
205	58	140
206	58	140
207	59	139
208	59	139
209	59	139
210	59	139
211	60	138
212	60	138
213	60	138
214	61	137
215	61	137
216	61	137
217	61	137
218	62	136
219	62	136
220	62	136
221	63	135
222	63	135
223	63	135
224	63	134
225	64	134
226	64	133
227	64	133
228	64	133
229	65	132
230	65	132
231	65	132
232	65	131
233	66	131
234	66	131
235	66	131
236	67	131
237	67	130
238	67	130
239	67	129
240	68	129
241	68	129
242	68	128
243	68	128
244	68	128
245	69	127
246	69	127
247	69	127
248	69	126
249	70	126
250	70	125
251	70	125
252	70	125
253	71	124
254	71	124
255	71	124
256	71	123
257	72	123
258	72	123
259	72	122
260	72	122
261	73	122
262	73	121
263	73	121
264	73	121
265	74	120
266	74	120
267	74	120
268	74	119
269	75	119
270	75	119
271	75	118
272	75	118
273	76	118
274	76	117
275	76	117
276	76	117
277	77	116
278	77	116
279	77	116
280	77	115
281	78	115
282	78	115
283	78	115
284	78	114
285	79	114
286	79	114
287	79	113
288	79	113
289	80	113
290	80	112
291	80	112
292	80	112
293	81	112
294	81	111
295	81	111
296	82	111
297	83	112
298	83	112
299	83	111
300	84	111
301	84	111
302	85	111
303	85	111
304	85	111
305	86	110
306	86	110
307	86	110
308	86	109
309	87	109
310	87	109
311	87	108
312	87	108
313	87	108
314	88	107
315	88	107
316	88	107
317	88	106
318	89	106
319	89	106
320	89	105
321	89	105
322	90	105
323	90	105
324	90	104
325	91	104
326	91	104
327	91	104
328	92	103
329	92	103
330	92	103
331	92	102
332	93	102
333	93	102
334	93	101
335	93	101
336	94	101
337	94	101
338	94	100
339	94	100
340	95	100
341	95	99
342	95	99
343	95	99
344	96	98
345	96	98
346	96	98
347	97	98
348	97	97
349	97	97
350	98	97
351	98	97
352	99	97
353	99	97
354	99	96
355	99	96
356	100	96
357	100	95
358	100	95
359	100	95
360	101	95
361	101	94
362	101	94
363	102	94
364	102	93
365	102	93
366	102	93
367	103	93
368	103	92
369	103	92
370	104	92
371	104	91
372	104	91
373	104	91
374	105	91
375	105	90
376	105	90
377	105	90
378	106	89
379	106	89
380	106	89
381	106	89
382	107	88
383	107	88
384	107	88
385	108	87
386	108	87
387	108	87
388	108	87
389	109	86
390	109	86
391	109	86
392	109	85
393	110	85
394	110	85
395	110	84
396	110	84
397	111	84
398	111	84
399	111	83
400	112	83
401	112	83
402	112	83
403	113	82
404	113	82
405	113	82
406	114	82
407	114	81
408	114	81
409	114	81
410	115	80
411	115	80
412	115	80
413	115	79
414	116	79
415	116	79
416	116	79
417	117	78
418	117	78
419	117	78
420	117	78
421	118	77
422	118	77
423	118	77
424	118	76
425	119	76
426	119	76
427	119	76
428	119	75
429	120	75
430	120	75
431	120	74
432	120	74
433	121	74
434	121	73
435	121	73
436	121	73
437	122	73
438	122	72
439	122	72
440	122	72
441	123	71
442	123	71
443	123	71
444	123	71
445	124	70
446	124	70
447	124	70
448	124	69
449	125	69
450	125	69
451	125	68
452	125	68
453	126	68
454	126	68
455	126	67
456	126	67
457	127	67
458	127	66
459	127	66
460	127	66
461	128	65
462	128	65
463	128	65
464	128	65
465	129	64
466	129	64
467	129	64
468	130	64
469	130	63
470	130	63
471	130	63
472	131	62
473	131	62
474	131	62
475	131	62
476	132	61
477	132	61
478	132	61
479	132	60
480	132	60
481	133	60
482	133	59
483	133	59
484	133	59
485	134	59
486	134	58
487	134	58
488	134	58
489	135	57
490	135	57
491	135	57
492	135	57
493	136	56
494	136	56
495	136	56
496	137	55
497	137	55
498	137	55
499	137	55
500	138	54
501	138	54
502	138	54
503	138	53
504	139	53
505	139	53
506	139	53
507	139	52
508	140	52
509	140	52
510	140	51
511	140	51
512	141	51
513	141	51
514	141	50
515	141	50
516	142	50
517	142	49
518	142	49
519	142	49
520	143	49
521	143	48
522	143	48
523	143	48
524	144	48
525	144	47
526	144	47
527	144	47
528	145	46
529	145	46
530	145	46
531	146	46
532	146	45
533	146	45
534	146	45
535	147	45
536	147	44
537	147	44
538	148	44
539	148	43
540	148	43
541	149	43
542	149	43
543	149	42
544	149	42
545	150	42
546	150	42
547	150	41
548	150	41
549	150	41
550	151	40
551	151	40
552	151	40
553	151	40
554	152	39
555	152	39
556	152	39
557	152	38
558	153	38
559	153	38
560	153	38
561	153	37
562	154	37
563	154	37
564	154	36
565	154	36
566	155	36
567	155	36
568	155	35
569	155	35
570	156	35
571	156	34
572	156	34
573	156	34
574	157	34
575	157	33
576	157	33
577	157	33
578	158	33
579	158	32
580	158	32
581	158	32
582	159	31
583	159	31
584	159	31
585	159	31
586	159	30
587	160	30
588	160	30
589	160	30
590	161	29
591	161	29
592	161	29
593	162	28
594	162	28
595	162	28
596	162	28
597	163	27
598	163	27
599	163	27
600	163	26
601	164	26
602	164	26
603	164	26
604	164	25
605	165	25
606	165	25
607	166	25
608	166	24
609	166	24
610	166	24
611	167	24
612	167	23
613	167	23
614	167	23
615	168	22
616	168	22
617	168	22
618	168	22
619	169	21
620	169	21
621	169	21
622	169	21
623	170	20
624	170	20
625	170	20
626	171	19
627	171	19
628	171	19
629	171	19
630	172	18
631	172	18
632	172	18
633	172	17
634	173	17
635	173	17
636	173	17
637	173	16
638	174	16
639	174	16
640	174	16
641	174	15
642	175	15
643	175	15
644	175	14
645	175	14
646	176	14
647	176	14
648	176	13
649	177	13
650	177	13
651	177	13
652	177	12
653	178	12
654	178	12
655	178	11
656	178	11
657	179	11
658	179	11
659	179	10
660	179	10
661	180	10
662	180	10
663	180	9
664	180	9
665	181	9
666	181	8
667	181	8
668	181	8
669	182	8
670	182	7
671	182	7
672	182	7
673	183	7
674	183	6
675	183	6
676	184	6
677	184	5
678	184	5
679	184	5
680	185	5
681	185	4
682	185	4
683	185	4
684	186	4
685	186	3
686	186	3
687	187	3
688	187	2
689	187	2
690	188	2
691	188	2
692	188	1
693	188	1
694	189	1
695	189	1
696	189	0
697	189	0
698	190	0
699	190	0
